id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1471870,0,0,,27,23,Positive
1472190,11,8,Very Positive,159,130,Very Positive
1472191,0,0,,116,107,Very Positive
1472192,0,0,,27,25,Positive
1472560,115,92,Very Positive,374,276,Mostly Positive
1472660,39,34,Very Positive,1365,1160,Very Positive
1472856,0,0,,0,0,
1472860,0,0,,0,0,1 user reviews
1473700,0,0,,0,0,1 user reviews
1473740,0,0,,10,6,Mixed
1474030,10,3,Mostly Negative,515,236,Mixed
1474630,0,0,,50,37,Mostly Positive
1475200,0,0,,38,32,Positive
1475460,0,0,,89,86,Very Positive
1475530,0,0,Very Positive,156,149,Very Positive
1475570,0,0,,342,235,Mixed
1475580,0,0,,130,62,Mixed
1475670,0,0,,0,0,3 user reviews
1475830,0,0,,100,54,Mixed
1475870,0,0,,0,0,3 user reviews
1475880,0,0,,0,0,5 user reviews
1476100,0,0,,15,12,Positive
1476340,0,0,Very Positive,578,554,Overwhelmingly Positive
1476520,37,26,Mostly Positive,1234,913,Mostly Positive
1476780,0,0,,22,20,Positive
1477050,0,0,,26,23,Positive
1477330,0,0,Very Positive,374,340,Very Positive
1477590,115,109,Overwhelmingly Positive,3046,2436,Very Positive
1477780,0,0,,38,28,Mostly Positive
1477790,31,28,Very Positive,567,532,Very Positive
1477830,82,65,Very Positive,538,478,Very Positive
1477840,0,0,,224,201,Very Positive
1477920,0,0,,104,66,Mixed
1478000,0,0,,57,48,Very Positive
1478120,0,0,,0,0,5 user reviews
1478300,0,0,,71,29,Mixed
1478350,0,0,,31,24,Positive
1478410,0,0,,115,108,Very Positive
1478650,0,0,,278,244,Very Positive
1478810,0,0,,47,28,Mixed
1479451,0,0,,112,95,Very Positive
1479500,12,10,Very Positive,87,84,Very Positive
1479630,0,0,,34,24,Mostly Positive
1480230,0,0,,102,94,Very Positive
1480340,22,16,Mostly Positive,568,408,Mostly Positive
1480480,0,0,,175,113,Mixed
1480500,0,0,,82,77,Very Positive
1480560,87,57,Mixed,778,591,Mostly Positive
1480750,0,0,,25,14,Mixed
1480830,0,0,,77,64,Very Positive
1481080,29,27,Very Positive,666,639,Overwhelmingly Positive
1481440,0,0,,41,38,Positive
1481570,0,0,,137,134,Very Positive
1481920,0,0,,0,0,
1482080,0,0,,60,54,Very Positive
1482430,0,0,,18,16,Positive
1482631,0,0,,19,17,Positive
1483730,0,0,,396,87,Mostly Negative
1483780,0,0,,145,127,Very Positive
1483870,585,456,Mostly Positive,16863,13996,Very Positive
1484280,15,13,Very Positive,765,688,Very Positive
1484480,0,0,,0,0,6 user reviews
1484720,0,0,,309,296,Very Positive
1484730,0,0,,41,34,Positive
1484900,39,32,Very Positive,946,841,Very Positive
1485570,0,0,,28,26,Positive
1485650,0,0,,19,13,Mostly Positive
1485720,0,0,,14,9,Mostly Positive
1486630,63,58,Very Positive,555,516,Very Positive
1486710,0,0,,0,0,8 user reviews
