id,tag,type
1004770,Fast-Paced,T
1004770,Fantasy,T
1004770,Short,T
1004770,Single-player,C
1004770,Online PvP,C
1004770,Shared/Split Screen PvP,C
1004770,Full controller support,C
1004770,Remote Play on Phone,C
1004770,Remote Play on Tablet,C
1004770,Remote Play Together,C
1004891,Racing,T
1004891,Sports,T
1004891,Simulation,T
1004891,Single-player,C
1004891,Online PvP,C
1004891,Downloadable Content,C
1004891,Steam Achievements,C
1004891,Full controller support,C
1004891,Steam Cloud,C
1004892,Simulation,T
1004892,Racing,T
1004892,Sports,T
1004892,Single-player,C
1004892,Online PvP,C
1004892,Downloadable Content,C
1004892,Steam Achievements,C
1004892,Full controller support,C
1004892,Steam Cloud,C
1004919,RPG,T
1004919,Action,T
1004919,Adventure,T
1004919,Violent,T
1004919,Multiplayer,T
1004919,Hack and Slash,T
1004919,Fantasy,T
1004919,Single-player,C
1004919,Online PvP,C
1004919,Shared/Split Screen PvP,C
1004919,Online Co-op,C
1004919,Shared/Split Screen Co-op,C
1004919,Downloadable Content,C
1004919,Steam Achievements,C
1004919,Full controller support,C
1004919,Steam Cloud,C
1004919,Violence,R
1005120,RPG,T
1005120,Adventure,T
1005120,Indie,T
1005120,Roguelike,T
1005120,Singleplayer,T
1005120,Faith,T
1005120,Anime,T
1005120,Single-player,C
1005120,Steam Achievements,C
1005120,Full controller support,C
1005120,Steam Cloud,C
1005130,Casual,T
1005130,Strategy,T
1005130,Adventure,T
1005130,Time Management,T
1005130,Female Protagonist,T
1005130,Story Rich,T
1005130,Single-player,C
1005130,Steam Achievements,C
1005300,Trivia,T
1005300,Casual,T
1005300,Indie,T
1005300,Multiplayer,T
1005300,Local Multiplayer,T
1005300,Funny,T
1005300,Comedy,T
1005300,Party,T
1005300,Board Game,T
1005300,Local Co-Op,T
1005300,Co-op,T
1005300,Family Friendly,T
1005300,Party Game,T
1005300,Singleplayer,T
1005300,Social Deduction,T
1005300,Single-player,C
1005300,Shared/Split Screen PvP,C
1005300,Shared/Split Screen Co-op,C
1005300,Steam Achievements,C
1005300,Full controller support,C
1005300,Steam Trading Cards,C
1005300,Steam Cloud,C
1005300,Remote Play on Phone,C
1005300,Remote Play on Tablet,C
1005300,Remote Play on TV,C
1005300,Remote Play Together,C
1005400,Racing,T
1005400,Arcade,T
1005400,Multiplayer,T
1005400,Physics,T
1005400,Minimalist,T
1005400,Top-Down,T
1005400,Driving,T
1005400,Competitive,T
1005400,Difficult,T
1005400,Singleplayer,T
1005400,Local Multiplayer,T
1005400,4 Player Local,T
1005400,Split Screen,T
1005400,Stylized,T
1005400,Controller,T
1005400,Local Co-Op,T
1005400,Co-op Campaign,T
1005400,3D,T
1005400,Remake,T
1005400,Time Attack,T
1005400,Single-player,C
1005400,Online PvP,C
1005400,Shared/Split Screen PvP,C
1005400,Shared/Split Screen Co-op,C
1005400,Steam Achievements,C
1005400,Full controller support,C
1005400,Steam Trading Cards,C
1005400,Steam Cloud,C
1005400,Steam Leaderboards,C
1005400,Remote Play Together,C
1005460,Casual,T
1005460,Simulation,T
1005460,Strategy,T
1005460,Early Access,T
1005460,Indie,T
1005460,Turn-Based Strategy,T
1005460,Grand Strategy,T
1005460,Turn-Based Tactics,T
1005460,Political Sim,T
1005460,Turn-Based Combat,T
1005460,Combat,T
1005460,Soundtrack,T
1005460,Turn-Based,T
1005460,Military,T
1005460,Historical,T
1005460,Tactical,T
1005460,Politics,T
1005460,Political,T
1005460,Diplomacy,T
1005460,Open World,T
1005460,Single-player,C
1005460,Steam Cloud,C
1005930,Life Sim,T
1005930,Economy,T
1005930,Simulation,T
1005930,Time Management,T
1005930,Education,T
1005930,Capitalism,T
1005930,Indie,T
1005930,RPG,T
1005930,Early Access,T
1005930,Turn-Based Strategy,T
1005930,Board Game,T
1005930,Character Customization,T
1005930,Resource Management,T
1005930,Sandbox,T
1005930,Choices Matter,T
1005930,Singleplayer,T
1005930,Isometric,T
1005930,Modern,T
1005930,Strategy,T
1005930,Management,T
1005930,Single-player,C
1005930,Shared/Split Screen PvP,C
1005930,Steam Achievements,C
1005930,In-App Purchases,C
1005930,Steam Cloud,C
1005930,Remote Play Together,C
1005971,Utilities,T
1005971,Downloadable Content,C
1005971,Full controller support,C
1005971,In-App Purchases,C
1005971,Profile Features Limited,C
1005972,Utilities,T
1005972,Downloadable Content,C
1005972,Full controller support,C
1005972,In-App Purchases,C
1005972,Profile Features Limited,C
1007040,Action,T
1007040,Online Co-Op,T
1007040,Mechs,T
1007040,Third-Person Shooter,T
1007040,Co-op,T
1007040,Aliens,T
1007040,Shooter,T
1007040,Local Co-Op,T
1007040,Sci-fi,T
1007040,Split Screen,T
1007040,Funny,T
1007040,Class-Based,T
1007040,Multiplayer,T
1007040,Difficult,T
1007040,Anime,T
1007040,Singleplayer,T
1007040,Third Person,T
1007040,Loot,T
1007040,Single-player,C
1007040,Online PvP,C
1007040,Online Co-op,C
1007040,Shared/Split Screen Co-op,C
1007040,Steam Achievements,C
1007040,Full controller support,C
1007040,Steam Trading Cards,C
1007040,Steam Cloud,C
1007040,Remote Play on Phone,C
1007040,Remote Play on Tablet,C
1007040,Remote Play on TV,C
1007040,Remote Play Together,C
1007070,Action,T
1007070,Indie,T
1007070,RPG,T
1007070,Gore,T
1007070,Violent,T
1007070,Action RPG,T
1007070,Multiplayer,T
1007070,Single-player,C
1007070,Online Co-op,C
1007070,Steam Leaderboards,C
1007070,Includes level editor,C
1007070,Profile Features Limited,C
1007400,Action RPG,T
1007400,Shooter,T
1007400,Looter Shooter,T
1007400,Post-apocalyptic,T
1007400,Action,T
1007400,RPG,T
1007400,Aliens,T
1007400,Shoot 'Em Up,T
1007400,Inventory Management,T
1007400,Gore,T
1007400,Survival,T
1007400,Sci-fi,T
1007400,Singleplayer,T
1007400,Horror,T
1007400,Female Protagonist,T
1007400,Action-Adventure,T
1007400,Arena Shooter,T
1007400,Indie,T
1007400,Isometric,T
1007400,3D,T
1007400,Single-player,C
1007400,Steam Achievements,C
1007400,Steam Trading Cards,C
1007400,Steam Cloud,C
1007400,Steam Leaderboards,C
1008710,Sexual Content,T
1008710,Nudity,T
1008710,Casual,T
1008710,Mature,T
1008710,FPS,T
1008710,Indie,T
1008710,Adventure,T
1008710,RPG,T
1008710,Anime,T
1008710,Hentai,T
1008710,NSFW,T
1008710,Psychological Horror,T
1008710,Singleplayer,T
1008710,Single-player,C
1008710,Steam Achievements,C
1008710,Steam Trading Cards,C
1008710,Steam Cloud,C
1008710,Commentary available,C
1008800,Deckbuilding,T
1008800,Card Battler,T
1008800,Strategy,T
1008800,Card Game,T
1008800,Board Game,T
1008800,Single-player,C
1008800,Online PvP,C
1008800,Shared/Split Screen PvP,C
1008800,Cross-Platform Multiplayer,C
1008800,Remote Play Together,C
10090,Zombies,T
10090,World War II,T
10090,FPS,T
10090,Multiplayer,T
10090,Action,T
10090,Shooter,T
10090,Co-op,T
10090,Singleplayer,T
10090,First-Person,T
10090,Moddable,T
10090,War,T
10090,Online Co-Op,T
10090,Gore,T
10090,Historical,T
10090,Classic,T
10090,Survival,T
10090,Great Soundtrack,T
10090,Tanks,T
10090,Adventure,T
10090,Horror,T
10090,Single-player,C
1009290,RPG,T
1009290,Action,T
1009290,Adventure,T
1009290,Anime,T
1009290,JRPG,T
1009290,Open World,T
1009290,Multiplayer,T
1009290,MMORPG,T
1009290,Character Customization,T
1009290,Sexual Content,T
1009290,Singleplayer,T
1009290,Massively Multiplayer,T
1009290,Online Co-Op,T
1009290,Visual Novel,T
1009290,Third Person,T
1009290,Nudity,T
1009290,Co-op,T
1009290,Mature,T
1009290,Hack and Slash,T
1009290,Survival,T
1009290,Single-player,C
1009290,Online Co-op,C
1009290,Steam Achievements,C
1009290,Full controller support,C
1009290,Steam Cloud,C
1009290,Steam Leaderboards,C
1009290,Remote Play on Tablet,C
1009290,Violence,R
1009290,Bad Language,R
1009290,Sex,R
1009290,In-Game Purchases,R
1009450,Visual Novel,T
1009450,Anime,T
1009450,Casual,T
1009450,Adventure,T
1009450,Simulation,T
1009450,Dating Sim,T
1009450,Romance,T
1009450,Single-player,C
1009450,Steam Achievements,C
1009450,Steam Trading Cards,C
1009450,Steam Cloud,C
1009460,Simulation,T
