id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1005300,Windows 7+,2.66 Ghz Core 2 Duo or Greater,4 GB RAM,GeForce 500+ / Radeon 5000+ or Greater,,3 GB available space,,M
1005300,Windows 8.1+,2.33 GHz Quad Core or Greater,8 GB RAM,GeForce 600+ / Radeon 6000+,,3 GB available space,,R
1005400,Windows XP / Vista / 7 / 8 / 10,2.2 GHz Dual Core,2 GB RAM,,Version 11,3 GB available space,,F
1005460,Windows 7sp1 or Windows 10 (64 bits),I5 or AMD equivalent or above,4 GB RAM,NVIDIA Geforce GTX950,Version 9.0c,4 GB available space,,M
1005460,Windows 10 (64 bits),I7 or above,4 GB RAM,NVIDIA Geforce GTX950,Version 11,4 GB available space,,R
1005930,Windows 7 or higher,,4 GB RAM,,,200 MB available space,,F
1005971,Windows 7,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent,8 GB RAM,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent,Version 11,40 MB available space,Sony Playstation VR Headset required,M
1005971,Windows 10,Intel® i5-4590 / AMD FX 8350 equivalent or greater,8 GB RAM,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent or greater,Version 11,40 MB available space,Sony Playstation VR Headset required,R
1005972,Windows 7,Intel® i5-4590 / AMD FX 8350 equivalent,8 GB RAM,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent,Version 11,40 MB available space,,M
1005972,Windows 10,Intel® i5-4590 / AMD FX 8350 equivalent or greater,8 GB RAM,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent or greater,Version 11,40 MB available space,,R
1007040,"Windows 7 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i5-4440 3.10GHz/AMD A10-7850K 3.70GHz,8 GB RAM,NVIDIA GeForce GTX 760 2GB/AMD Radeon HD 7970 3GB,Version 11,30 GB available space,XInput Controller,M
1007040,"Windows 7 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-4770 3.40GHz/AMD Ryzen5 1400 3.20GHz,8 GB RAM,NVIDIA GeForce GTX 970 4GB/AMD Radeon RX 480 8GB,Version 11,30 GB available space,XInput Controller,R
1007070,Windows 7,Quad Core 2.0 GHz,3 GB RAM,OpenGL 3.0 Support 1 GB VRAM,,2 GB available space,,M
1007070,Windows 10,Quad Core 2.67 GHz,3 GB RAM,OpenGL 3.0 Support 1 GB VRAM,,2 GB available space,,R
1007400,"Windows 7 (service pack 1), 8, 10",Intel Core 2 Duo T5200 @1.6GHz / AMD Athlon 64 X2 3600+ @2000MHz or better,2 GB RAM,512 MB video card,,1500 MB available space,,F
1008710,windows 7 64-bit or higher,Intel i3 4160T or better,1 GB RAM,Nvidia GeForce GT720 or better,Version 11,400 MB available space,,M
1008710,windows 7 64-bit or higher,Intel i5 4460 or better,1 GB RAM,GeForce GTX 950 or better,Version 11,400 MB available space,,R
1008800,Windows 7 or higher,Intel Core i3 2.00 GHz or AMD equivalent,256 MB RAM,,Version 11,200 MB available space,,F
10090,Windows XP/Vista/7,Pentium 4 @ 3 GHz/AMD 64 3200+,512 MB (1 GB for Vista),256 MB (nVidia GeForce 6600/ATI Radeon X1600),DirectX 9.0c,8 GB Free,,F
1009290,Windows 10 64 bit,Intel Core i7-4790,8 GB RAM,"Nvidia GeForce GTX 760, 2 GB | AMD Radeon HD 7950, 3 GB",Version 11,45 GB available space,,M
1009290,Windows 10 64 bit,Intel Core i7-9700 | AMD Ryzen 5 3600,16 GB RAM,"Nvidia GeForce GTX 1070, 8 GB | Radeon RX Vega 56, 8 GB",Version 11,45 GB available space,,R
1009450,Windows XP or newer,1.3 GHz,512 MB RAM,,,4 GB available space,,F
1009460,Windows XP or newer,1.3 GHz,512 MB RAM,,,3 GB available space,,F
1009560,Windows 7 (64-bit) or newer,Intel Core i3-4130 / Phenom x4 955,4 GB RAM,GeForce GTX 560 / AMD R7-260X,Version 11,4 GB available space,,M
1009560,Windows 7 (64-bit) or newer,Intel Core i5-8400 / AMD Ryzen 3 1200,8 GB RAM,GeForce GTX 650 / AMD Radeon RX 580,Version 11,4 GB available space,,R
1009820,64-bit Operating Systems (Windows 10),Intel Core i3-4170 or AMD FX-8120,8 GB RAM,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,Version 11,25 GB available space,"With these requirements, it is recommended that the game is played on Low quality settings.",M
1009820,64-bit Operating Systems (Windows 10),Intel Core i3-4170 or AMD FX-8300 or higher,8 GB RAM,DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM,Version 11,25 GB available space,,R
1009821,64-bit Operating Systems (Windows 10),Intel Core i3-4170 or AMD FX-8120,8 GB RAM,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,Version 11,25 GB available space,"With these requirements, it is recommended that the game is played on Low quality settings.",M
1009821,64-bit Operating Systems (Windows 10),Intel Core i3-4170 or AMD FX-8300 or higher,8 GB RAM,DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM,Version 11,25 GB available space,,R
1010139,"64-bit Windows 7 Service Pack 1, Windows 8 / 8.1 or Windows 10",Intel Core i5-4690 @ 3.5 GHz or AMD Ryzen 5 1500X @ 3.7 GHz,8 GB RAM,NVIDIA GeForce GTX 750 Ti or AMD Radeon R9 270 with 2 GB VRAM or more,Version 10,20 GB available space,Requires mouse and keyboard or Xbox Controller,M
1010139,"64-bit Windows 7 Service Pack 1, Windows 8 / 8.1 or Windows 10",Intel Core i7-4790 @ 3.6 GHz or AMD Ryzen 7 1700 @ 3.8 GHz,8 GB RAM,NVIDIA GeForce GTX 970 or AMD Radeon RX 480 with 4 GB VRAM or more,Version 10,20 GB available space,Requires mouse and keyboard or Xbox Controller,R
1010220,Windows 7/8/10 (64-bit OS required),Intel Core i5 3570K 3.40 GHz / AMD FX-4100 Quad-Core Processor 3.6GHz,4 GB RAM,NVIDIA Geforce GTX 660 2 GB,Version 11,30 GB available space,,M
1010220,Windows 10 (64-bit OS required),Intel Core i7-4790 3.6GHz / AMD FX-9370 8-Core 4.4GHz,8 GB RAM,NVIDIA Geforce GTX 960 4GB / AMD R9 290 HD 4GB,Version 12,30 GB available space,,R
