id,name
463,Global Delight Technologies Pvt. Ltd.
464,Pieces Interactive
465,Lavaboots Studios
466,Flashback Games
467,Slitherine Ltd.
468,VICO Game Studio
469,Reverb Triple XP
470,Zan_HedonDev
471,Nacon			
472,Wargaming Group Limited
473,Punk Notion
474,Another Road
475,Woolly Walrus Games
476,
477,Andrew G. Schneider
478,Balancing Monkey Games
479,Haojoy Game
480,CREATIVE ASSEMBLY
481,Vertigo Games
482,Cadabra Games
483,Antimatter Games
484,Pathea Games
485,Outerloop Games
486,Dire Wolf
487,Asmodee Digital
488,Fireart Games
489,Maze Theory
490,Playstack
491,MonteBearo
492,Goblinz Publishing
493,Abrakam Entertainment SA
494,SNK CORPORATION
495,Charles Games
496,Suncrash
497,LTTDY
498,Носков Сергей
499,Anthony Case
500,Caiysware
501,Nupuryu no sato
502,Shimobashira Workshop
503,Mousou Endemic
504,Sonoshee
505,Bad Yolk Games
506,Monomi Park
507,David Moralejo Sánchez
508,Laumania ApS
509,Decumanus Games
510,"I-Novae Studios, LLC"
511,Cloudhead Games ltd.
512,Dreams Uncorporated
513,Modus Games
514,NEOWIZ
515,Die Gute Fabrik
516,Akupara Games
517,Trion Worlds
518,Rhinotales
519,Days of Wonder
520,GoodbyeWorld Games
521,Skybound Games
522,Survios
523,Moonsprout Games
524,Playmestudio
525,PICORINNE SOFT
526,Hitbear Studio
527,blueflower
528,Picaresque Studio
529,Fish Eagle
530,The Wild Gentlemen
531,Steppe Hare Studio
532,Artefacts Studio
533,Ezorisudo
534,The Indie Stone
535,stubbornsteve
536,Chongming Studio
537,Larian Studios
538,Remedy Entertainment
539,Soleil Ltd.
540,The Bearded Ladies
541,Beawesome Games
542,Crate Entertainment
543,The Digital Puzzle Company
544,GameFormatic S.A.
545,Ndemic Creations
546,Eidos-Montréal
547,Dovetail Games - Fishing
548,Ivanovich Games
549,Koei Tecmo
550,HR Innoways
551,Milestone S.r.l.
552,PuffballsUnited
553,Innersloth
554,Bungie
555,Unlimited Fly Games
556,Orbi Universo Team
557,离忧先生
558,方块游戏(CubeGame)
559,CD PROJEKT RED
560,Unique Media
561,Xihe Animation
562,Horo Games
563,Neat Corporation
564,馆叔
565,Bloober Team NA
566,Star Gem Inc.
567,Gaijin Distribution KFT
568,Daniel Mullins Games
569,Devolver Digital
570,Lena Raine
571,Radical Dreamland
572,Moonlight Kids
573,Supra Games
574,拾英工作室
575,IO Games
576,Light Arc Studio Ltd
577,Aldin Dynamics
578,汉家松鼠Han-Squirrel Studio
579,XD
580,NanaWind
581,"X PLUS Co., Ltd."
582,Direfang
583,R-Age
584,"SmiteWorks USA, LLC"
585,code:jp
586,豆丁儿独立游戏工作室
587,Little Bean Games
588,Tiny Warrior Games
589,Draw Distance
590,Tactical Adventures
591,Protocol Games
592,🚀 Raiser Games
593,Gotcha Gotcha Games
594,Fury Software
595,imaginarylab
596,Original Fire Games
597,Mediatonic
598,Luis Antonio
599,WolfEye Studios
600,KISS
601,S-court
602,Urban Giraffe Games Inc.
603,RVL Games
604,The Coalition
605,Odders Lab
606,Frontier Developments 
607,Travel by Train
608,D'Avekki Studios Ltd
609,Pill Bug Interactive
610,id Software
611,"Truant Pixel, LLC"
612,"YGGDRAZIL GROUP PUBLIC CO., LTD."
613,"Ningbo Inception Media Co., Ltd. "
614,Alessandro Guzzo
615,Numantian Games
616,Limbic Entertainment
617,Luminous
618,Yippee! Entertainment
619,Torus Games
620,Experience
621,Aksys Games
622,Chromatic Games
623,ACE Team
624,Superhero Games
625,Double W
626,Toffee Cafe
627,Destructive Creations
628,Mountains
629,Shiny Shoe
630,Mecha Studios
631,Bromio
632,Carbon Studio
633,Fibrum Limited
634,Slormite Studios
635,Dionic Software
636,Fireproof Games
637,Archpray Inc.
638,Rayark International Limited
639,Dekovir Entertainment
640,Ryu Ga Gotoku Studio
641,Onyx Lute
642,Ishtar Games
643,The Arcade Crew
644,UDX Interactive Inc.
645,Rezoner
646,Super Pixel Games
647,Game in a Bottle
648,Foulball Hangover
649,Sweet & Tea
650,Yak & Co
651,Red Koi Box
652,Deck13
653,Wales Interactive
654,Team Bondi
655,Rockstar Games
656,Cassel Games
657,Gaijin Entertainment
658,QLOC
659,Fallen Flag Studio
660,Osome Studio
661,Smart Tale Games
662,maitan69 (Matías Schmied)
663,Whitethorn Digital
664,"nWay, INC"
665,Cold Symmetry
666,"CarX Technologies, LLC"
667,Techland
668,Techland Publishing
669,DOG HOGGLER
670,Peachy Keen Games
671,ATLUS
672,Tense Games
673,Studio Wildcard
674,Snail Games USA
675,Sakana Studios
676,Kazakov Oleg
677,BANDAI NAMCO Studios Inc.
678,Windforce
679,Brave At Night
680,No More Robots
681,Happy Volcano
682,Playdigious
683,Douze Dixièmes
684,HongShou Studio
685,Pixmain
686,"CAPCOM Co., Ltd."
687,mestiez
688,Studio Minus
689,Gamious
690,Electronic Arts
691,Arclight Creations
692,Klabater
693,Unexpected
694,Toxic Dog
695,Excalibur Games
696,Sokpop Collective
697,Chashu Entertainment
698,We Create Stuff
699,Maple Flag
700,Suzaku
701,Wildfire Game（无锡野火数字科技有限公司）
702,bilibili
703,"ROTU Entertainment & Media, Ltd."
704,Blueside
705,Digital Sun
706,11 bit studios
707,Panzar Studio
708,OVALIS INVESTMENTS LIMITED
709,艺龙游戏
710,WSS playground
711,atelier mimina
712,Rocwise Entertainment
713,Beethoven and Dinosaur
714,Variable State
715,Simogo
716,Clover Bite
717,Greg Lobanov
718,Finji
719,Cleversan Software
720,The N Main Shop
721,DLsite
722,Bitrich.info
723,TeaForTwo
724,AMPLITUDE Studios
725,Matrioshka Games
726,V Publishing
727,Isto Inc.
728,11  bit studios
729,Digital Eclipse
730,Disney
731,Steel Wool Studios
732,ScottGames
733,DSGame
734,Pingfang Games
735,Next Game Level
736,FarSight Studios
737,AnukenDev
738,Dinosaur Polo Club
739,Louis Rigaud
740,Minskworks
741,Orbit Studio
742,Super.com
743,Monster Games
744,704 Games Company
745,Picroma
746,Globiss Interactive
747,"Rogue Games, Inc."
748,ROCKFISH Games
749,Whirlpool
750,Wolfire Games
751,Render Cube
752,Toplitz Productions
753,Blazing Stick
754,Graffiti Games
755,No Games
756,Chilla's Art
757,League of Geeks
758,Monster Tooth Studios
759,Hogo Company
760,Seacoxx
761,Rude Ghost
762,Skymap Games
763,3rd eye project
764,Sony Music Entertainment (Japan) Inc. / UNTIES
765,Nise-Eikoku Studio
766,CUBETYPE
767,Edmund McMillen and Florian Himsl
768,Edmund McMillen
769,"Edmund McMillen, Florian Himsl"
770,Sicarius
771,CreativeForge Games
772,Egosoft
773,Tom Johnson
774,Slug Disco Studios
775,Warner Bros. Interactive Entertainment
776,Paranoid Interactive
777,Hyperstrange
778,Mirari&Co.
779,Juvty Worlds
780,Weird and Wry
781,Spider Nest Games
782,Neopica
783,Cheesecake Dev
784,Frogwares
785,Chaosmonger Studio
786,Assemble Entertainment
787,Autosavegame
788,PUMPKIM
789,FreeMind S.A.
790,Triumph Studios
791,DotEmu
792,七彩绘色游戏
793,Team L.U.R.Id Glow
794,Morteshka
795,HypeTrain Digital
796,Studio Polygon
797,Random Potion Oy
798,Wild River Games 
799,RPN Indie Developer
800,One More Level
801,AtomTeam
802,Firesprite Ltd
803,Beautiful Glitch
804,Still Running
805,Merge Games
806,TUNNEL No.73
807,Therefore Games
808,Team SNEED
809,ATi Studios A.P.P.S. SRL
810,Ice-Pick Lodge
811,AVP & IT GmbH
812,j4nw
813,Kamyker
814,CyberConnect2 Co. Ltd.
815,Stormind Games
816,Jadon Barnes
817,Ossian Studios
818,Beamdog
819,Double Eleven
820,Hungry Couch Games
821,Crytek
822,The Game Kitchen
823,MinMax Games Ltd.
824,Yuzusoft
825,1047 Games
826,Terri Vellmann
827,Blobfish
828,Toge Productions
829,Modern Wolf
830,Ortharion project
831,Rusty Lake
832,Second Maze
833,Fuzzy Pixel Game Studio
834,One Up Plus Entertainment
835,MS GAMES
836,MS GAMES sp. z o.o.
837,Revolution Software Ltd
838,Brezg Studio
839,101XP
840,YETU GAME
841,Circle Poison
842,NotGames
843,SouthPAW Games
844,Corey Martin
845,Overflow
846,Jason “AmiPolizeiFunk” Ditmars
847,Ryuichi Kaminogi
848,Old Skull Games
849,GirlGames
850,AQUAPLUS
851,DMM GAMES
852,DRAGO entertainment
853,Movie Games S.A.
854,Ludeon Studios
855,10tons Ltd
856,Trendy Entertainment
857,IDEA FACTORY
858,Luden.io
859,Nival
860,Adult Swim Games
861,Other Ocean Emeryville
862,"Konami Digital Entertainment, Inc."
863,"OMOCAT, LLC"
864,Kamichichi
865,Remtairy
866,Urnique Studio
867,Double Fine Productions
868,yeo
869,Jeff Winner
870,Bethesda Game Studios
871,Guerrilla
872,PlayStation PC LLC
873,qureate
874,Might and Delight
875,Studio Tokiwa
876,Deep Silver Fishlabs
877,Deep Silver
878,Grimlore Games
879,Alexey Davydov
880,Flazm
881,PlayMagic
882,Aggro Crab
883,Team17 Digital
884,VR Designs
885,6 Eyes Studio
886,Pine Studio
887,Snapbreak
888,BEPLAYER
889,Art Games Studio S.A.
890,Xigma Games
891,"CFK Co., Ltd."
892,Bliss Brain
893,Wolf & Wood Interactive Ltd
894,Fun Train
895,Daijyobi Institute
896,HYOGO ONIMUSHI
897,TABINOMICHI
898,Nepos Games
899,"Wevr, Inc."
900,D-Pad Studio
901,Happy Broccoli Games
902,Fellow Traveller
903,Mighty Morgan
904,LVGameDev LLC
905,Graviteam
906,Daisu Games
907,WAFFLE GAMES
908,PsychoFlux Entertainment
909,Get Up Games
910,Nodbrim Interactive
911,Toadman Interactive
912,Dreamlight Games Studios SL
913,Milkstone Studios
914,MOTIONX STUDIO
915,Kaizen Game Works
916,Digital Crafter
917,AZGames
918,MistyMountainStudio
919,Gaming Minds Studios
920,KOEX studio
921,Blackbird Interactive
922,"Fatbot Games, s. r. o."
923,5 Lives Studios
924,Deep Silver 
925,BANDAI NAMCO Studios
926,Doublehit Games
927,Kwalee Ltd
928,ScopeNext Inc
929,PQube Limited
930,"Softstar Technology (Beijing) Co.,Ltd"
931,SOFTSTAR ENTERTAINMENT
932,07th Expansion
933,MangaGamer
934,Rejet
935,Beijing Happy Entertainment Technology
936,Avalon Digital
937,Gamatron AB
938,FreakZone Games
939,Screenwave Media
940,"Acttil, LLC."
941,GapTax
942,SHADE Inc.
943,Matrix
944,Lazy Bear Games
945,Damian Kubiak
946,Henry Kucab
947,章鱼罐头制作组
948,Mojiken
949,REFMAP
950,The Scholastics
951,BitterBerries
952,Dischan Media
953,Placeholder Gameworks
954,PikPok
955,Black Eye Games
956,Ravenscourt
957,Marvelous Inc.
958,XSEED Games
959,Tuxedo Labs
960,Beat Games
961,SmokeStab
962,Early Morning Studio
963,Other Ocean Interactive
964,Other Ocean Group
965,DreamStorm Studios
966,Games Operators
967,SC Jogos
968,Big Cheese Studio
969,Pyxeralia
970,Zachtronics
971,Mads Skovgaard
972,WhileOne Productions
973,PID Games
974,Piotr Wolk
975,Star Drifters
976,DANG!
977,Gen90Software
978,Ubisoft Paris Studio
979,Pixel Canvas Studios
