id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1009821,Dead by Daylight - Ash vs Evil Dead,,"2 Apr, 2019",61,61,N/A,18,PEGI
1010139,Train Sim World®: East Coastway: Brighton - Eastbourne & Seaford Route Add-On,,"12 Dec, 2019",62,63,N/A,3,PEGI
1010220,Sword Art Online: Fatal Bullet - Dissonance Of The Nexus Expansion,,"17 Jan, 2019",64,55,N/A,12,PEGI
1010240,Changeling,"A dark, fantastical romantic comedy that focuses not just on falling in love, but rediscovering your past and the dangers of a supernatural world - where what's at stake is not just your heart, but also your life.","30 Jan, 2019",65,65,N/A,,
1010600,"The Princess, the Stray Cat, and Matters of the Heart","Once upon a time, after his mother passed away, a boy called Nora felt all alone in the world. He spent every day with his unique and kind hearted friends until one fateful day, he had a chance encounter with a princess from the Netherworld.","17 Jun, 2019",66,66,N/A,,
1010750,Blood: Fresh Supply™,"Battle an army of sycophantic cultists, zombies, gargoyles, hellhounds, and an insatiable host of horrors in your quest to defeat the evil Tchernobog. Squirm through 42 loathesome levels filled with more atmosphere than a Lovecraftian mausoleum.","9 May, 2019",67,67,77,,
1010820,Barony: Myths & Outcasts,,"23 Feb, 2019",68,68,N/A,,
1010821,Barony: Legends & Pariahs,,"27 Dec, 2019",68,-1,N/A,,
1011190,SIMULACRA 2,"A dead influencer. An obsessed detective. Three suspects. Piece the truth together by going through the victim’s phone messages, videos, and social media in the follow up to the critically acclaimed SIMULACRA.","30 Jan, 2020",69,70,69,12,PEGI
1011610,Radio General,"It's WWII. You're a general sitting in a tent. All you have is a map, and a radio. Can you win the battle? Radio General is a unique strategy game where you interact with your units over the radio using speech recognition. Test your mettle and relive famous battles as a WWII general.","9 Apr, 2020",71,72,N/A,,
1011670,Totally Reliable Delivery Service,"Delivery Attempted. That's the Totally Reliable Delivery Service guarantee! T.R.D.S. is a ragdoll physics simulation about terrible package delivery couriers. Work together using odd machinery, useful gadgets, and the wonders of physics to reliably deliver packages to their destination.","1 Apr, 2021",73,74,64,,
1011890,Mirror: Songs of the Maidens,,"17 Jan, 2019",75,76,N/A,,
1011900,Mirror: Enchanting Reflections,,"17 Jan, 2019",75,76,N/A,,
1011940,Ideology in Friction,"Ideology in Friction is the story of two knights, Clacier and Annette. They're forced into an impossible situation where they must make a decision that would change their entire lives. What will become of these two knights? Find out in Ideology in Friction!","13 Jun, 2019",77,78,N/A,,
1011990,Dies irae ~Interview with Kaziklu Bey~,"The world of Dies irae returns with an all-new side story based around LDO member Wilhelm Ehrenburg. The subject of an interview in a dusty bar, the legendary ""Kaziklu Bey"" recounts the tale of a conflict he suffered long in the past...","27 Feb, 2019",79,80,N/A,,
1012030,Detective Girl of the Steam City,"Detective Girl of the Steam City is the story of Sophie, a private investigator not unlike Sherlock Holmes. It's up to Sophie to uncover the mysteries of the Steam City through her investigations. What mysteries and intrigue await her? Find out in this Steam Punk RPG!","18 Jul, 2019",81,78,N/A,,
1012102,Train Simulator: Gotthardbahn Alpine Classic: Erstfeld – Bellinzona Route Add-On,,"1 Aug, 2019",82,83,N/A,3,PEGI
1012560,Snakeybus,The length of your bus grows as you pick up more people! Snake through the city streets and avoid crashing into yourself.,"10 May, 2019",84,84,N/A,,
1012610,Buoyancy,"Buoyancy is a city-building strategy game where you build, manage, and move a floating city on an oceanic world. Explore and scavenge resources scattered around the endless waters. Keep your villagers nourished and happy while combating fires, sickness, and pirate attacks.","30 Aug, 2019",85,85,N/A,,
