id,url
676,https://store.steampowered.com/bundle/676/NEKOPARA/?snr=1_7_7_7000_150_12
11193,https://store.steampowered.com/bundle/11193/Pathfinder_Kingmaker__Imperial_Edition_Bundle/?snr=1_7_7_7000_150_12
8077,https://store.steampowered.com/bundle/8077/Graveyard_Keeper_Collectors_Edition/?snr=1_7_7_7000_150_12
15367,https://store.steampowered.com/bundle/15367/Remnant_From_the_Ashes__Complete_Edition/?snr=1_7_7_7000_150_12
23033,https://store.steampowered.com/bundle/23033/Sea_of_Thieves_Skeletal_Sailor_Starter_Edition/?snr=1_7_7_7000_150_12
16718,https://store.steampowered.com/bundle/16718/MHWI__Complete_Handler_Costume_Pack/?snr=1_7_7_7000_150_120
243,https://store.steampowered.com/bundle/243/Hatoful_Boyfriend_Complete_Pack/?snr=1_7_7_7000_150_120
1573,https://store.steampowered.com/bundle/1573/The_Secret_Order_Collection/?snr=1_7_7_7000_150_120
3297,https://store.steampowered.com/bundle/3297/The_Longest_Journey_Bundle/?snr=1_7_7_7000_150_120
18128,https://store.steampowered.com/bundle/18128/BloodRayne_Terminal_Cut_Bundle/?snr=1_7_7_7000_150_120
2998,https://store.steampowered.com/bundle/2998/Ska_Studios_The_Skallection/?snr=1_7_7_7000_150_120
1644,https://store.steampowered.com/bundle/1644/Sunless_Sea__Zubmariner_bundle/?snr=1_7_7_7000_150_120
16272,https://store.steampowered.com/bundle/16272/TECHNIKA_123_FULL_BUNDLE/?snr=1_7_7_7000_150_121
21786,https://store.steampowered.com/bundle/21786/The_Sims_4_Bundle__City_Living__Parenthood__Tiny_Living/?snr=1_7_7_7000_150_121
21322,https://store.steampowered.com/bundle/21322/Edge_Of_Eternity__Digital_Deluxe_Edition/?snr=1_7_7_7000_150_122
12970,https://store.steampowered.com/bundle/12970/Two_Worlds_Universe/?snr=1_7_7_7000_150_122
9690,https://store.steampowered.com/bundle/9690/The_Sunless_Sea__Skies_Bundle/?snr=1_7_7_7000_150_122
23109,https://store.steampowered.com/bundle/23109/Big_Event_Bundle/?snr=1_7_7_7000_150_123
21300,https://store.steampowered.com/bundle/21300/Love_n_War/?snr=1_7_7_7000_150_123
22783,https://store.steampowered.com/bundle/22783/Torture_Star_Bundle/?snr=1_7_7_7000_150_123
14139,https://store.steampowered.com/bundle/14139/Touhou_Blooming_Chaos_2__Full_Bundle/?snr=1_7_7_7000_150_123
10392,https://store.steampowered.com/bundle/10392/Killing_Floor_Franchise_Bundle/?snr=1_7_7_7000_150_123
12020,https://store.steampowered.com/bundle/12020/Lakeview_Bundle/?snr=1_7_7_7000_150_123
4418,https://store.steampowered.com/bundle/4418/Life_is_Strange_Before_the_Storm_Deluxe_Edition/?snr=1_7_7_7000_150_124
20527,https://store.steampowered.com/bundle/20527/Cloudpunk_Ultimate_Edition/?snr=1_7_7_7000_150_124
15296,https://store.steampowered.com/bundle/15296/Unravel_Yarny_Bundle/?snr=1_7_7_7000_150_124
6588,https://store.steampowered.com/bundle/6588/Monkey_Island_Collection/?snr=1_7_7_7000_150_124
21188,https://store.steampowered.com/bundle/21188/Vampire_The_Masquerade__The_New_York_Bundle/?snr=1_7_7_7000_150_124
3046,https://store.steampowered.com/bundle/3046/Battle_Brothers_Supporter_Edition/?snr=1_7_7_7000_150_124
16231,https://store.steampowered.com/bundle/16231/art_of_rally_deluxe_edition/?snr=1_7_7_7000_150_125
15121,https://store.steampowered.com/bundle/15121/Clazziquai_Edition__Black_Square_Full_Bundle/?snr=1_7_7_7000_150_125
755,https://store.steampowered.com/bundle/755/Rainbow_Six_Bundle/?snr=1_7_7_7000_150_125
20267,https://store.steampowered.com/bundle/20267/_CyberLink_PowerDirector_19_Ultra__PhotoDirector_12_Ultra/?snr=1_7_7_7000_150_126
11221,https://store.steampowered.com/bundle/11221/Beat_Saber__Imagine_Dragons_Music_Pack/?snr=1_7_7_7000_150_126
5754,https://store.steampowered.com/bundle/5754/Gold_Rush_The_Game__Parkers_Edition/?snr=1_7_7_7000_150_127
4695,https://store.steampowered.com/bundle/4695/Grim_Tales_Collection/?snr=1_7_7_7000_150_127
1712,https://store.steampowered.com/bundle/1712/Assetto_Corsa_Porsche_Season_Pass/?snr=1_7_7_7000_150_127
16466,https://store.steampowered.com/bundle/16466/Warhammer_Vermintide_2__Outcast_Engineer_Bundle/?snr=1_7_7_7000_150_128
15358,https://store.steampowered.com/bundle/15358/Warhammer_Vermintide_2__Grail_Knight_Bundle/?snr=1_7_7_7000_150_128
11650,https://store.steampowered.com/bundle/11650/Nancy_Drew_Travel_Bundle/?snr=1_7_7_7000_150_128
12899,https://store.steampowered.com/bundle/12899/_Beat_Saber__Green_Day_Music_Pack/?snr=1_7_7_7000_150_129
